Zeit;Kanal A
(ms);(V)

-4.65543487;1.02731300
-4.65533087;1.02731300
-4.65522687;1.02731300
-4.65512287;1.02731300
-4.65501887;1.02731300
-4.65491487;1.02731300
-4.65481087;1.02731300
-4.65470687;1.02731300
-4.65460287;1.02731300
-4.65449887;0.98071480
-4.65439487;1.02731300
-4.65429087;0.98071480
-4.65418687;1.02731300
-4.65408287;1.02731300
-4.65397887;1.02731300
-4.65387487;1.02731300
-4.65377087;1.02731300
-4.65366687;1.02731300
-4.65356287;1.02731300
-4.65345887;1.02731300
-4.65335487;1.02731300
-4.65325087;0.98071480
-4.65314687;1.02731300
-4.65304287;1.02731300
-4.65293887;1.02731300
-4.65283487;0.98071480
-4.65273087;1.02731300
-4.65262687;0.98071480
-4.65252287;1.02731300
-4.65241887;1.02731300
-4.65231487;1.02731300
-4.65221087;1.02731300
-4.65210687;1.02731300
-4.65200287;1.02731300
-4.65189887;1.02731300
-4.65179487;1.02731300
-4.65169087;1.07406500
-4.65158687;1.02731300
-4.65148287;1.02731300
-4.65137887;1.02731300
-4.65127487;1.02731300
-4.65117087;0.98071480
-4.65106687;1.02731300
-4.65096287;1.02731300
-4.65085887;1.02731300
-4.65075487;1.02731300
-4.65065087;0.98071480
-4.65054687;1.02731300
-4.65044287;1.02731300
-4.65033887;0.98071480
-4.65023487;1.02731300
-4.65013087;1.02731300
-4.65002687;1.02731300
-4.64992287;0.98071480
-4.64981887;1.02731300
-4.64971487;1.02731300
-4.64961087;1.02731300
-4.64950687;1.02731300
-4.64940287;1.02731300
-4.64929887;1.02731300
-4.64919487;1.02731300
-4.64909087;1.02731300
-4.64898687;1.02731300
-4.64888287;1.02731300
-4.64877887;1.02731300
-4.64867487;1.02731300
-4.64857087;1.02731300
-4.64846687;1.02731300
-4.64836287;1.07406500
-4.64825887;1.02731300
-4.64815487;1.02731300
-4.64805087;1.02731300
-4.64794687;1.02731300
-4.64784287;1.02731300
-4.64773887;1.02731300
-4.64763487;1.02731300
-4.64753087;1.02731300
-4.64742687;1.02731300
-4.64732287;1.02731300
-4.64721887;1.02731300
-4.64711487;1.02731300
-4.64701087;1.02731300
-4.64690687;1.02731300
-4.64680287;1.02731300
-4.64669887;0.98071480
-4.64659487;1.02731300
-4.64649087;1.02731300
-4.64638687;1.02731300
-4.64628287;1.02731300
-4.64617887;0.98071480
-4.64607487;1.02731300
-4.64597087;1.02731300
-4.64586687;1.02731300
-4.64576287;1.02731300
